City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Walvis Bay,NA,2022-07-20 18:08:47,-22.9575,14.5053,57.09,60,0,13.35,clear sky
61,Xuddur,SO,2022-07-20 18:10:15,4.1213,43.8894,79.21,42,92,13.82,overcast clouds
62,Tuktoyaktuk,CA,2022-07-20 18:05:51,69.4541,-133.0374,57.2,82,75,11.5,broken clouds
63,Biu,NG,2022-07-20 18:10:15,10.6129,12.1946,68.13,91,91,2.24,overcast clouds
64,Sorland,NO,2022-07-20 18:10:15,67.667,12.6934,53.46,94,78,23.76,broken clouds
65,Vestmannaeyjar,IS,2022-07-20 18:10:16,63.4427,-20.2734,58.19,77,0,13.8,clear sky
66,Hobart,AU,2022-07-20 18:05:35,-42.8794,147.3294,35.06,93,1,6.91,clear sky
67,Tiksi,RU,2022-07-20 18:07:42,71.6872,128.8694,35.82,95,98,10.98,overcast clouds
68,Peringat,MY,2022-07-20 18:10:16,6.0333,102.2833,75.83,94,100,2.62,overcast clouds
69,Mar Del Plata,AR,2022-07-20 18:02:48,-38.0023,-57.5575,63.95,53,0,14.0,clear sky
70,Annau,TM,2022-07-20 18:10:17,37.8876,58.516,94.15,12,0,0.18,clear sky
71,Foumban,CM,2022-07-20 18:10:17,5.7291,10.9001,64.69,95,91,0.94,moderate rain
72,Lasa,IT,2022-07-20 18:10:17,46.6166,10.7002,74.1,81,72,3.42,broken clouds
73,Hermanus,ZA,2022-07-20 18:05:42,-34.4187,19.2345,45.81,69,2,3.47,clear sky
74,Asau,RO,2022-07-20 18:07:56,46.4333,26.4,79.72,56,51,5.77,broken clouds
75,Vanavara,RU,2022-07-20 18:07:38,60.34,102.2797,58.48,81,87,5.3,overcast clouds
76,Phanat Nikhom,TH,2022-07-20 18:10:18,13.4458,101.1844,81.25,73,100,3.31,moderate rain
77,Meulaboh,ID,2022-07-20 18:07:27,4.1363,96.1285,76.12,87,100,3.78,overcast clouds
78,Provideniya,RU,2022-07-20 18:06:42,64.3833,-173.3,39.9,94,95,17.54,overcast clouds
79,Kearney,US,2022-07-20 18:09:28,40.6995,-99.0815,82.31,47,0,3.44,clear sky
80,Codrington,AU,2022-07-20 18:10:18,-38.2667,141.9667,38.48,86,0,7.56,clear sky
81,Sur,OM,2022-07-20 18:10:18,22.5667,59.5289,85.55,73,94,14.38,overcast clouds
82,Tiznit,MA,2022-07-20 18:10:19,29.5833,-9.5,98.22,17,90,8.61,overcast clouds
83,Cape Town,ZA,2022-07-20 18:05:41,-33.9258,18.4232,53.28,65,0,1.01,clear sky
84,Viedma,AR,2022-07-20 18:10:19,-40.8135,-62.9967,66.72,28,90,27.96,overcast clouds
85,Jamestown,US,2022-07-20 18:03:38,42.097,-79.2353,89.19,55,75,13.8,broken clouds
86,Kinkala,CG,2022-07-20 18:10:19,-4.3614,14.7644,72.77,73,86,3.71,overcast clouds
87,College,US,2022-07-20 18:07:49,64.8569,-147.8028,59.47,80,75,4.61,broken clouds
88,Benguela,AO,2022-07-20 18:08:16,-12.5763,13.4055,67.82,88,58,4.09,broken clouds
89,Cap Malheureux,MU,2022-07-20 18:10:20,-19.9842,57.6142,70.47,61,96,10.0,overcast clouds
90,Vallenar,CL,2022-07-20 18:10:20,-28.5708,-70.7581,67.5,47,100,2.8,overcast clouds
91,Leninskiy,RU,2022-07-20 18:10:20,54.2781,37.4558,55.29,93,54,6.82,broken clouds
92,Klaksvik,FO,2022-07-20 18:06:01,62.2266,-6.589,50.92,91,84,19.19,broken clouds
93,Grand Gaube,MU,2022-07-20 18:08:04,-20.0064,57.6608,71.38,59,97,8.99,overcast clouds
94,Lompoc,US,2022-07-20 18:07:43,34.6391,-120.4579,86.68,72,0,12.66,clear sky
95,Howard Springs,AU,2022-07-20 18:10:24,-12.497,131.047,66.11,93,81,4.97,broken clouds
96,Vizinga,RU,2022-07-20 18:10:24,61.0749,50.1031,55.24,95,45,2.57,scattered clouds
97,Thompson,CA,2022-07-20 18:05:59,55.7435,-97.8558,62.76,82,75,6.91,broken clouds
98,Tuatapere,NZ,2022-07-20 18:07:18,-46.1333,167.6833,41.97,86,98,1.59,overcast clouds
99,Grindavik,IS,2022-07-20 18:06:36,63.8424,-22.4338,52.27,87,75,16.11,broken clouds
